name,latitude,longitude,place_id
Thorncliffe Park Dr (East) at Overlea Blvd,43.7072215,-79.343633,ChIJMxGMf_zM1IkRbUhNcmvWusw
Overlea Blvd at William Morgan Dr,43.7079465,-79.34164,ChIJBalZF_zM1IkRk4sPL5v9kZ8
Beth Nealson Dr at Wicksteed Ave,43.713128,-79.3466545,ChIJw9dgSx3N1IkRu8hn9WLmDfs
Don Mills Rd at Overlea Blvd,43.709656,-79.3348575,ChIJh0eiZlXM1IkRCV97vq5o6Uc
Overlea Blvd at Leaside Park Dr,43.703635,-79.3512725,ChIJMeao8eXM1IkR5ILPiqyf0O4
Wicksteed Ave at Leslie St,43.713051,-79.350617,ChIJKxsBjR3N1IkRg4-f5QRo1Pg
Thorncliffe Park Dr East at Overlea Blvd,43.707718,-79.343803,ChIJFySTh_zM1IkR6ODKowPSUk4
Overlea Blvd at Thorncliffe Park Dr,43.70724899999999,-79.344025,ChIJLenmgfzM1IkR2Eo0V5tUJ1E
Overlea Blvd at Thorncliffe Park Dr West Side,43.707458,-79.3442,ChIJQZ6-g_zM1IkRsnnmaum_RJc
Thorncliffe Park Dr East at Overlea Blvd North Side,43.707947,-79.343712,ChIJUV18YvzM1IkRRFSUWh_iVgc
Thorncliffe Park Dr East at Overlea Blvd South Side,43.707005,-79.34350599999999,ChIJS38ZgfvM1IkRpFJfnTH0Kbw
Thorncliffe Park Dr at Overlea Blvd,43.706924,-79.34318499999999,ChIJl9xmhvvM1IkROwvspbfMj_E
Overlea Blvd at East York Town Centre,43.706974,-79.345215,ChIJSUO6XfvM1IkRQasy8ER0x1s
East York Town Centre,43.706936,-79.34528399999999,ChIJE3KvXfvM1IkRU-OP5GNmlho
Overlea Blvd at William Morgan Dr West Side,43.708042,-79.341736,ChIJ2VkJF_zM1IkRuMYHHuDLR-Q
Overlea Blvd at William Morgan Dr,43.707836,-79.34155299999999,ChIJu-gXGvzM1IkRfrW3Oz9co2I
Thorncliffe Park Dr at Pat Moore Dr,43.709225,-79.34431500000001,ChIJM2Ya-_zM1IkR4n1Bm77TLV8
46 Overlea Blvd,43.706974,-79.346268,ChIJ9cwwUvvM1IkRONgoZENOrA4
Thorncliffe Park Dr at Pat Moore Dr,43.70948,-79.34472699999999,ChIJoXrG4_zM1IkRenkpP5Jwnc8
75 Thorncliffe Park Dr,43.70494799999999,-79.341949,ChIJWRgIzPvM1IkRWsYtx3_eRUw
