name,latitude,longitude,place_id
Bamiyan Kabob,43.7078904,-79.3433563,ChIJNQDaZ_zM1IkR8yUen522rrM
Hakka Garden Chinese Restaurant,43.7045213,-79.3497703,ChIJEQlpr-XM1IkRn3aUNSWm96g
Olde Yorke Fish & Chips,43.70623009999999,-79.3619995,ChIJZ-RK89zM1IkRgEbxv4h_hfM
Popeyes Louisiana Kitchen,43.707899,-79.3433244,ChIJv8B-cYLzL4gRF6FnIL1U6Ag
Ajwa Pizza n Grill,43.70441049999999,-79.3498335,ChIJddjcKPvM1IkRsQJ3w69tm6k
Watan Pizza,43.7082022,-79.34355670000001,ChIJcaYhYfzM1IkRQx_kCzdvbX0
Pasha Restaurant,43.7082877,-79.3426767,ChIJ1UnwQfzM1IkRjF3LStt9pRc
Tim Hortons,43.7059499,-79.3468127,ChIJN5c3zuTM1IkRfzcHFQVaja0
Chicken Haus,43.705474,-79.3470555,ChIJh2vU0OTM1IkRtUuBo0Fffg8
Tim Hortons,43.71390819999999,-79.3358119,ChIJx9ZGBJzS1IkRMtj1GJ-1m5c
Osaka Sushi,43.7139947,-79.33486309999999,ChIJV1A-eqrN1IkRMd9LTu67-l4
Tim Hortons - Temporarily Closed,43.7166146,-79.33860729999999,ChIJ9ak90gbN1IkRcqI-T5rfO8Y
Kabul Restaurant and Bakery,43.71435109999999,-79.33359229999999,ChIJi5Xof6rN1IkRDrHfHpy0Pk0
Charmaine Sweets,43.7126632,-79.3587882,ChIJuy1o7t_M1IkRTkESaSeJln8
Pizzaville,43.7065302,-79.3608328,ChIJ1zCZwtzM1IkRbg9woWp1wpY
Tim Hortons,43.7056293,-79.3610283,ChIJLTGZwtzM1IkRX-7oCOer4ZM
Shaheen Tikka & Kabab House,43.7139688,-79.3342124,ChIJN9y4lgDN1IkRZ6qJTmJ39uE
San Francesco Foods,43.7037109,-79.36107960000001,ChIJc9yVK8PM1IkRS6I9HKwYOR4
Subway Fast Food,43.7142128,-79.335824,ChIJ6WI7MQfN1IkRlEruW6vvkpo
McDonald's,43.7146924,-79.33381729999999,ChIJ_WS5f6rN1IkRQjBQ6gD-owU
