name,latitude,longitude,place_id
Toronto,43.653226,-79.3831843,ChIJpTvG15DL1IkRd8S0KlBVNTI
The Home Depot,43.7105725,-79.3574681,ChIJ8-UMKt7M1IkRjGp70REeJFw
Best Buy,43.7092551,-79.3616804,ChIJh-LKBNzM1IkRtrGqA3GUR_A
Food Basics,43.7051558,-79.3472278,ChIJddjcKPvM1IkR3QK_bhuM1DY
Masjid Darussalam,43.70609049999999,-79.35083070000002,ChIJx04tteXM1IkRva12G7IUCZk
Once Upon A Child,43.7061272,-79.34513559999999,ChIJA34gts7M1IkR3Bo2foBsKy4
Nova Associates Incorporate,43.7087631,-79.356567,ChIJow4Ymt_M1IkRTyGXtyCaPHg
PetSmart,43.7076333,-79.3599534,ChIJybFdqiDN1IkRH-FCiTss7nc
E.T. Seton Park - North,43.71655760000001,-79.349013,ChIJUwKDS_jM1IkRrCKSoAwIyfc
Skills For Change,43.707355,-79.34275749999999,ChIJAVxPPVXM1IkRYHQwoLhrgUk
Staples,43.7140921,-79.358639,ChIJM1P5PyDN1IkR7ygfa-rppR8
Sport Chek,43.7095236,-79.3604503,ChIJh-LKBNzM1IkR4UdMMEqkPlY
The UPS Store,43.7055416,-79.3618522,ChIJJctTIdTM1IkRKSd0XKoNiiw
HomeSense,43.7141708,-79.3577621,ChIJU3W0ciDN1IkRZre2b_2IPJI
Canada Stamp & Stencil Co Ltd,43.7091525,-79.34068839999999,ChIJpXSuRfzM1IkRv6obSA2KwZU
Flemingdon Park Ministry,43.7097748,-79.33268530000001,ChIJAVxPPVXM1IkRbg2MGQXqrFo
Stitchy Lizard,43.708182,-79.35674360000002,ChIJNdwLBwQ1K4gRTX1_xjBKSU0
XYZ Storage,43.7027973,-79.3596377,ChIJ03VMv8LM1IkRPz9iwFF5Wu8
Mr. Lube + Tires,43.707398,-79.34358999999999,ChIJv-hbfvzM1IkRcVNZOnz4M78
North York,43.7615377,-79.41107939999999,ChIJdYyRxC4yK4gRPX6_eocNM_s
