name,latitude,longitude,place_id
Childrens Fitness Centres Of Canada,43.70434660000001,-79.3528213,ChIJt8SId-bM1IkRUahRJrJP3T8
Pure Fitness Canada Eglinton,43.713012,-79.3600768,ChIJX1L9iSDN1IkRDfCpTkwerNs
Fit4Less,43.705689,-79.346018,ChIJBc7nQPvM1IkR3v-WhL_JEh4
My Favourite Trainer,43.7084392,-79.35873409999999,ChIJdc46M5PM1IkRwMEHD2Cs4lA
Nielsen Fitness Toronto,43.7124785,-79.3501639,ChIJAQDAaSUzK4gRYi4A3m8QV88
dev Dentrix 1,43.7039921,-79.3479906,ChIJAwje65fN1IkRQQotae4zu2I
Maison Pilates Inc.,43.7124785,-79.3501639,ChIJ5S6--grN1IkROjdJo2iQbrY
CRYOMEND -Biohacking Studio,43.7123719,-79.351,ChIJDb742X7N1IkRFruHLwYedCU
Fit Boots,43.70833349999999,-79.33285599999999,ChIJcywnl9rN1IkR5sEwJUGgMcc
T Train Cycling Centre,43.7028894,-79.3526077,ChIJJ_y1PeLN1IkR-Zp8QdPhozA
Prince Fitness,43.7143527,-79.3528759,ChIJadenBjPN1IkRjoRuo2HfxXQ
Leaside Pilates,43.7084258,-79.359235,ChIJHaixu0zN1IkRKY1Of1ra9CY
Hali Fitness,43.70840609999999,-79.3592694,ChIJraoa3t3M1IkRZhsG9EhEYZ4
Personal Best Health & Perform,43.7144379,-79.35778839999999,ChIJIcxT9R_N1IkRMX-I_v9iGfM
Dennis R Timbrell Resource and Community Centre,43.7178888,-79.3320707,ChIJH_WCdwHN1IkRXcst3f0lbYA
The Flock MMA Academy,43.7058617,-79.36207639999999,ChIJ77utEcnN1IkR00UUKHsLm2M
Defy Functional Fitness,43.70586549999999,-79.3620847,ChIJcyJeOMTN1IkRcGuAzg3AlwU
